attribute,code,group,n,base_rate,selection_rate,accuracy,tpr,fpr,auc,mean_predicted,ece,reportable
RAC1P,1,White alone,33029,0.3344636531532895,0.45584183596233613,0.761573162977989,0.8250203675205938,0.27031207351469383,0.8614716714368299,0.362953230722861,0.030684398400141158,True
RAC1P,2,Black or African American alone,5370,0.17206703910614526,0.27895716945996274,0.7932960893854749,0.70995670995671,0.18938371569950518,0.8452987071408123,0.23977630376097805,0.07144394377189747,True
RAC1P,6,Asian alone,1712,0.316588785046729,0.3872663551401869,0.7634345794392523,0.7380073800738007,0.2247863247863248,0.842396789352509,0.32999412239127024,0.027000423711369362,True
RAC1P,8,Some other race alone,1514,0.1202113606340819,0.11096433289299867,0.8731836195508587,0.4340659340659341,0.06681681681681682,0.8332570207570208,0.13720815809643136,0.026075546380534203,True
RAC1P,9,Two or more races,969,0.23839009287925697,0.29411764705882354,0.8183694530443757,0.7359307359307359,0.15582655826558264,0.8879092903483147,0.2557564318869176,0.033174967568804926,True
RAC1P,3,American Indian alone,356,0.19382022471910113,0.2612359550561798,0.797752808988764,0.6521739130434783,0.1672473867595819,0.8166691915366359,0.22347194345302449,0.051423994754948736,False
RAC1P,7,Native Hawaiian and Other Pacific Islander alone,102,0.12745098039215685,0.22549019607843138,0.803921568627451,0.6153846153846154,0.16853932584269662,0.8872082973206569,0.21405603291122532,0.10180349741304742,False
RAC1P,5,American Indian and Alaska Native tribes specified,49,0.20408163265306123,0.32653061224489793,0.7551020408163265,0.7,0.23076923076923078,0.7256410256410256,0.24968838863055076,0.18875267969729911,False
SEX,1,Male,22320,0.3751344086021505,0.4952508960573477,0.7512992831541219,0.8286157888450973,0.295117229511723,0.8519537387066601,0.38912775755133966,0.020922317007342456,True
SEX,2,Female,20781,0.22352148597276358,0.3247196958760406,0.7925508878302295,0.7623250807319698,0.19874814080317302,0.8668473718815259,0.2754624411652626,0.053131929281289764,True
RACExSEX,11,"White alone, Male",17462,0.41375558355285763,0.547073645630512,0.7418394227465354,0.8491349480968858,0.33388688092214514,0.8459889409912412,0.4234205789351167,0.018067028144318036,True
RACExSEX,12,"White alone, Female",15567,0.2455193678936211,0.35350420761868057,0.7837091282841909,0.7794348508634223,0.21489995742869306,0.8659094387337408,0.2951250792175994,0.05074110431394978,True
RACExSEX,22,"Black or African American alone, Female",2906,0.1293874741913283,0.2401927047487956,0.811424638678596,0.699468085106383,0.17193675889328064,0.8489219788075015,0.2153224525103631,0.08736961033264169,True
RACExSEX,21,"Black or African American alone, Male",2464,0.2224025974025974,0.3246753246753247,0.7719155844155844,0.7171532846715328,0.21242171189979123,0.8371550371058928,0.26861676306872445,0.05639125986329959,True
RACExSEX,62,"Asian alone, Female",904,0.28207964601769914,0.36836283185840707,0.754424778761062,0.7176470588235294,0.23112480739599384,0.8367473337563069,0.31442295717170665,0.057298310035359803,True
RACExSEX,81,"Some other race alone, Male",856,0.14953271028037382,0.15186915887850466,0.8317757009345794,0.4453125,0.10027472527472528,0.7945677369505495,0.17237468044565263,0.03609818542827149,True
RACExSEX,61,"Asian alone, Male",808,0.3551980198019802,0.4084158415841584,0.7735148514851485,0.7560975609756098,0.21689059500959693,0.8470343148728992,0.3474153270428612,0.033707932742742044,True
RACExSEX,82,"Some other race alone, Female",658,0.08206686930091185,0.057750759878419454,0.9270516717325228,0.4074074074074074,0.026490066225165563,0.8759197939661516,0.09145961230473933,0.027357023707396455,True
RACExSEX,91,"Two or more races, Male",488,0.2786885245901639,0.3483606557377049,0.8073770491803278,0.7794117647058824,0.18181818181818182,0.8823320521390373,0.29313587901439436,0.037513492000683095,False
RACExSEX,92,"Two or more races, Female",481,0.19750519750519752,0.2390852390852391,0.8295218295218295,0.6736842105263158,0.13212435233160622,0.8904963185164986,0.2178330011214111,0.037204483067721415,False
RACExSEX,32,"American Indian alone, Female",194,0.17010309278350516,0.22164948453608246,0.8350515463917526,0.6666666666666666,0.13043478260869565,0.8613777526821005,0.2011490516456142,0.04717704551275674,False
RACExSEX,31,"American Indian alone, Male",162,0.2222222222222222,0.30864197530864196,0.7530864197530864,0.6388888888888888,0.21428571428571427,0.7652116402116402,0.25020429537054045,0.07968292715391208,False
RACExSEX,71,"Native Hawaiian and Other Pacific Islander alone, Male",53,0.1320754716981132,0.22641509433962265,0.7547169811320755,0.42857142857142855,0.1956521739130435,0.8214285714285714,0.20400484414310735,0.12571778377958553,False
RACExSEX,72,"Native Hawaiian and Other Pacific Islander alone, Female",49,0.12244897959183673,0.22448979591836735,0.8571428571428571,0.8333333333333334,0.13953488372093023,0.9457364341085273,0.22492772688490392,0.15298787490548438,False
RACExSEX,51,"American Indian and Alaska Native tribes specified, Male",27,0.2222222222222222,0.3333333333333333,0.7407407407407407,0.6666666666666666,0.23809523809523808,0.7817460317460317,0.26036010069666077,0.15100370530512658,False
RACExSEX,52,"American Indian and Alaska Native tribes specified, Female",22,0.18181818181818182,0.3181818181818182,0.7727272727272727,0.75,0.2222222222222222,0.6944444444444444,0.23659128745850666,0.2854150126253271,False
